2013-04-12 17:00:00.006,ZNM3,132.9531,132.9688,697,3493
2013-04-12 17:00:00.043,ZNM3,132.9531,132.9688,697,3490
2013-04-12 17:00:00.052,ZNM3,132.9531,132.9688,700,3490
2013-04-12 17:00:00.072,ZNM3,132.9531,132.9688,699,3490
2013-04-12 17:00:00.135,ZNM3,132.9531,132.9688,699,3491
2013-04-12 17:00:00.137,UBM3,163.0312,163.0625,8,113
2013-04-12 17:00:00.137,ZNM3,132.9531,132.9688,700,3491
2013-04-12 17:00:00.221,ZNM3,132.9531,132.9688,700,3494
2013-04-12 17:00:00.446,UBM3,163.0312,163.0625,8,96
2013-04-12 17:00:00.449,ZNM3,132.9531,132.9688,700,3486
2013-04-12 17:00:00.451,ZFM3,124.4766,124.4844,1111,1630
2013-04-12 17:00:00.451,ZNM3,132.9531,132.9688,773,3494
2013-04-12 17:00:00.453,UBM3,163.0312,163.0625,8,95
2013-04-12 17:00:00.453,ZBM3,147.4375,147.4688,454,715
2013-04-12 17:00:00.453,ZFM3,124.4766,124.4844,1111,1606
2013-04-12 17:00:00.453,ZNM3,132.9531,132.9688,870,3487
2013-04-12 17:00:00.460,ZFM3,124.4766,124.4844,1131,1601
2013-04-12 17:00:00.460,ZNM3,132.9531,132.9688,964,3487
2013-04-12 17:00:00.461,UBM3,163.0312,163.0625,9,95
2013-04-12 17:00:00.461,ZNM3,132.9531,132.9688,1077,3487
2013-04-12 17:00:00.467,ZNM3,132.9531,132.9688,1087,3487
2013-04-12 17:00:00.468,ZNM3,132.9531,132.9688,997,3487
2013-04-12 17:00:00.469,ZNM3,132.9531,132.9688,993,3487
2013-04-12 17:00:00.471,ZNM3,132.9531,132.9688,1005,3487
2013-04-12 17:00:00.475,ZNM3,132.9531,132.9688,1021,3487
2013-04-12 17:00:00.476,ZNM3,132.9531,132.9688,1024,3487
2013-04-12 17:00:00.530,ZFM3,124.4766,124.4844,1131,1602
2013-04-12 17:00:00.533,ZBM3,147.4375,147.4688,456,715
2013-04-12 17:00:00.562,ZNM3,132.9531,132.9688,1016,3487
2013-04-12 17:00:00.563,UBM3,163.0312,163.0625,10,92
2013-04-12 17:00:00.563,ZBM3,147.4375,147.4688,456,709
2013-04-12 17:00:00.565,UBM3,163.0312,163.0625,17,92
